episode:31,Updates:31/250,Timesteps:6400/50000,FPS:141.0,avg_sp:-5.0576923076923075,value_loss:0.15984624922275542,policy_loss:0.06092429036895434,dist_entropy:0.9959791739781697,actor_grad_norm:2.3329215049743652,critic_grad_norm:1.929112195968628,ratio:1.0000362396240234,average_step_rewards:-3.067500114440918
episode:32,Updates:32/250,Timesteps:6600/50000,FPS:140.0,avg_sp:-3.3168316831683167,value_loss:0.2627922217051188,policy_loss:0.054702976097663246,dist_entropy:0.9924265702565511,actor_grad_norm:3.453317880630493,critic_grad_norm:2.4732561111450195,ratio:0.9977899193763733,average_step_rewards:-1.8200000524520874
episode:33,Updates:33/250,Timesteps:6800/50000,FPS:140.0,avg_sp:-3.801980198019802,value_loss:0.11135215312242508,policy_loss:0.08583494474490484,dist_entropy:0.9545880635579427,actor_grad_norm:1.887615442276001,critic_grad_norm:1.1432900428771973,ratio:0.999089777469635,average_step_rewards:-1.784999966621399
episode:34,Updates:34/250,Timesteps:7000/50000,FPS:140.0,avg_sp:-3.742574257425743,value_loss:0.04334665164351463,policy_loss:-0.005721582755601654,dist_entropy:0.9527943849563598,actor_grad_norm:1.1731235980987549,critic_grad_norm:0.4981805682182312,ratio:1.0006567239761353,average_step_rewards:-1.8125
episode:35,Updates:35/250,Timesteps:7200/50000,FPS:140.0,avg_sp:-3.54,value_loss:0.09749779005845388,policy_loss:0.021550688520073892,dist_entropy:0.9348912119865418,actor_grad_norm:2.0502779483795166,critic_grad_norm:0.6812164783477783,ratio:0.999201774597168,average_step_rewards:-1.6174999475479126
episode:36,Updates:36/250,Timesteps:7400/50000,FPS:140.0,avg_sp:-3.51,value_loss:0.05546793068448703,policy_loss:-0.0024200663494411854,dist_entropy:0.9395353198051453,actor_grad_norm:1.7469134330749512,critic_grad_norm:0.3348451256752014,ratio:0.995078980922699,average_step_rewards:-1.8624999523162842
episode:37,Updates:37/250,Timesteps:7600/50000,FPS:140.0,avg_sp:-3.892156862745098,value_loss:0.08158328980207444,policy_loss:0.03318469412624836,dist_entropy:0.9397256811459859,actor_grad_norm:2.452695608139038,critic_grad_norm:0.8490821719169617,ratio:0.9973874688148499,average_step_rewards:-1.872499942779541
episode:38,Updates:38/250,Timesteps:7800/50000,FPS:140.0,avg_sp:-3.07,value_loss:0.09307638357083002,policy_loss:0.006696661652919526,dist_entropy:0.9208932638168335,actor_grad_norm:1.9725375175476074,critic_grad_norm:0.45730048418045044,ratio:0.9997375011444092,average_step_rewards:-1.502500057220459
episode:39,Updates:39/250,Timesteps:8000/50000,FPS:140.0,avg_sp:-3.12,value_loss:0.027938654646277428,policy_loss:0.016523609062035878,dist_entropy:0.9045520027478536,actor_grad_norm:0.8828746676445007,critic_grad_norm:0.22310802340507507,ratio:1.0030769109725952,average_step_rewards:-1.5800000429153442
episode:40,Updates:40/250,Timesteps:8200/50000,FPS:140.0,avg_sp:-2.98,value_loss:0.07539574305216472,policy_loss:0.01857534497976303,dist_entropy:0.8956638216972351,actor_grad_norm:1.99912691116333,critic_grad_norm:0.622482180595398,ratio:0.9977723360061646,average_step_rewards:-1.5
episode:41,Updates:41/250,Timesteps:8400/50000,FPS:140.0,avg_sp:-3.06,value_loss:0.05075161084532738,policy_loss:0.015163925755769015,dist_entropy:0.9160634597142537,actor_grad_norm:1.998162031173706,critic_grad_norm:0.4258427023887634,ratio:0.9957630038261414,average_step_rewards:-1.6950000524520874
episode:42,Updates:42/250,Timesteps:8600/50000,FPS:139.0,avg_sp:-3.0,value_loss:0.06750649114449819,policy_loss:0.01828778802106778,dist_entropy:0.9004753192265829,actor_grad_norm:1.946778655052185,critic_grad_norm:1.2077648639678955,ratio:0.9977548122406006,average_step_rewards:-1.5399999618530273
episode:43,Updates:43/250,Timesteps:8800/50000,FPS:139.0,avg_sp:-2.83,value_loss:0.08739185432593027,policy_loss:0.07534339676300685,dist_entropy:0.876190706094106,actor_grad_norm:2.3718514442443848,critic_grad_norm:0.5641005039215088,ratio:0.9973030686378479,average_step_rewards:-1.4550000429153442
