episode:37,Updates:37/50,Timesteps:7600/10000,FPS:10.0,avg_sp:-2.39,value_loss:0.08640166620413463,policy_loss:-0.12089290618896484,dist_entropy:0.20568579534689585,actor_grad_norm:0.4305993616580963,critic_grad_norm:0.7617501616477966,ratio:0.9921101927757263,average_step_rewards:-1.0700000524520874
episode:38,Updates:38/50,Timesteps:7800/10000,FPS:10.0,avg_sp:-2.37,value_loss:0.0661882775525252,policy_loss:-0.03567648033301036,dist_entropy:0.1611629823843638,actor_grad_norm:0.36337271332740784,critic_grad_norm:0.7719084024429321,ratio:1.0011990070343018,average_step_rewards:-1.0774999856948853
episode:39,Updates:39/50,Timesteps:8000/10000,FPS:10.0,avg_sp:-2.11,value_loss:0.036355913430452344,policy_loss:-0.10910119464000066,dist_entropy:0.18693414628505706,actor_grad_norm:0.48101672530174255,critic_grad_norm:0.9104570746421814,ratio:0.9625120759010315,average_step_rewards:-1.0225000381469727
episode:40,Updates:40/50,Timesteps:8200/10000,FPS:10.0,avg_sp:-2.01,value_loss:0.02463020272552967,policy_loss:-0.009903875862558682,dist_entropy:0.20467951496442158,actor_grad_norm:0.9076309204101562,critic_grad_norm:0.3852251172065735,ratio:0.9404861927032471,average_step_rewards:-0.9424999952316284
episode:41,Updates:41/50,Timesteps:8400/10000,FPS:10.0,avg_sp:-1.78,value_loss:0.021172510708371797,policy_loss:0.002181401033885777,dist_entropy:0.1580237994591395,actor_grad_norm:0.6690914630889893,critic_grad_norm:0.32292652130126953,ratio:0.9287996888160706,average_step_rewards:-0.8149999976158142
episode:42,Updates:42/50,Timesteps:8600/10000,FPS:10.0,avg_sp:-1.99,value_loss:0.02958163631459077,policy_loss:-0.14365588227907816,dist_entropy:0.12396836082140604,actor_grad_norm:0.7531309127807617,critic_grad_norm:0.8992783427238464,ratio:0.9789184927940369,average_step_rewards:-0.875
episode:43,Updates:43/50,Timesteps:8800/10000,FPS:10.0,avg_sp:-1.97,value_loss:0.025128288318713506,policy_loss:-0.0879485900203387,dist_entropy:0.13124179939428965,actor_grad_norm:0.4502834379673004,critic_grad_norm:0.4937116801738739,ratio:0.9807213544845581,average_step_rewards:-0.7724999785423279
episode:44,Updates:44/50,Timesteps:9000/10000,FPS:10.0,avg_sp:-1.86,value_loss:0.025752860183517138,policy_loss:-0.13517607003450394,dist_entropy:0.14493765036265055,actor_grad_norm:0.7547571063041687,critic_grad_norm:0.47312068939208984,ratio:0.9755114316940308,average_step_rewards:-0.5824999809265137
episode:45,Updates:45/50,Timesteps:9200/10000,FPS:10.0,avg_sp:-1.81,value_loss:0.029313771923383077,policy_loss:-0.16067551175753275,dist_entropy:0.11402295827865601,actor_grad_norm:0.416027694940567,critic_grad_norm:0.946117103099823,ratio:0.9932915568351746,average_step_rewards:-0.6924999952316284
episode:46,Updates:46/50,Timesteps:9400/10000,FPS:10.0,avg_sp:-2.07,value_loss:0.03084162746866544,policy_loss:-0.012193783403684695,dist_entropy:0.1762783447901408,actor_grad_norm:1.1087526082992554,critic_grad_norm:0.821880042552948,ratio:0.9842799305915833,average_step_rewards:-0.9375
episode:47,Updates:47/50,Timesteps:9600/10000,FPS:10.0,avg_sp:-2.05,value_loss:0.03277738392353058,policy_loss:-0.016957680853859833,dist_entropy:0.22153524061044058,actor_grad_norm:0.7392060160636902,critic_grad_norm:0.6475106477737427,ratio:0.9684934616088867,average_step_rewards:-0.8349999785423279
episode:48,Updates:48/50,Timesteps:9800/10000,FPS:10.0,avg_sp:-1.93,value_loss:0.02809773621459802,policy_loss:-0.08634484112262726,dist_entropy:0.17870924671490987,actor_grad_norm:0.4860597252845764,critic_grad_norm:0.33636441826820374,ratio:1.006316900253296,average_step_rewards:-0.8299999833106995
episode:49,Updates:49/50,Timesteps:10000/10000,FPS:10.0,avg_sp:-1.97,value_loss:0.021932426715890567,policy_loss:-0.09771975378195445,dist_entropy:0.18647755384445192,actor_grad_norm:0.49538394808769226,critic_grad_norm:0.2902790606021881,ratio:1.002601146697998,average_step_rewards:-0.8399999737739563
