episode:27,Updates:27/50,Timesteps:5600/10000,FPS:51.0,avg_sp:-1.91,avg_xp_0_0:-2.83,avg_xp_0_1:-2.85,avg_xp_1_0:-3.27,avg_xp_1_1:-3.34,avg_xp_2_0:-3.29,avg_xp_2_1:-3.19,value_loss:0.12051142839094003,policy_loss:-0.018285608398844508,dist_entropy:1.582494181394577,actor_grad_norm:1.0917006929715474,critic_grad_norm:1.8921144003669421,ratio:3.9886775692303975,best_i:0,average_step_rewards:-0.9599999785423279
episode:28,Updates:28/50,Timesteps:5800/10000,FPS:52.0,avg_sp:-1.65,avg_xp_0_0:-2.88,avg_xp_0_1:-2.65,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.1483487441514929,policy_loss:-0.013913818102043876,dist_entropy:1.4355301201343535,actor_grad_norm:0.6691322326660156,critic_grad_norm:2.523711709678173,ratio:3.995512914657593,best_i:0,average_step_rewards:-0.824999988079071
episode:29,Updates:29/50,Timesteps:6000/10000,FPS:52.0,avg_sp:-1.31,avg_xp_0_0:-2.5,avg_xp_0_1:-2.64,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.10573142642776172,policy_loss:-0.029072384377029643,dist_entropy:1.3093667964140574,actor_grad_norm:1.0764763514200846,critic_grad_norm:2.9727374851703643,ratio:4.026684693495432,best_i:0,average_step_rewards:-0.6549999713897705
episode:30,Updates:30/50,Timesteps:6200/10000,FPS:51.0,avg_sp:-1.29,avg_xp_0_0:-2.84,avg_xp_0_1:-2.87,avg_xp_1_0:-3.495049504950495,avg_xp_1_1:-3.21,avg_xp_2_0:-3.34,avg_xp_2_1:-3.5,value_loss:0.12130315974354744,policy_loss:-0.035269337854619685,dist_entropy:1.1299188216527303,actor_grad_norm:1.0314818819363911,critic_grad_norm:5.558563108742237,ratio:3.986348084608714,best_i:0,average_step_rewards:-0.6449999809265137
episode:31,Updates:31/50,Timesteps:6400/10000,FPS:52.0,avg_sp:-1.33,avg_xp_0_0:-3.04,avg_xp_0_1:-2.91,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.1371388304978609,policy_loss:-0.013093012835278698,dist_entropy:1.0295724749565125,actor_grad_norm:1.569763708114624,critic_grad_norm:2.3438760181268057,ratio:3.9943940957387287,best_i:0,average_step_rewards:-0.6650000214576721
episode:32,Updates:32/50,Timesteps:6600/10000,FPS:52.0,avg_sp:-1.26,avg_xp_0_0:-3.05,avg_xp_0_1:-2.8,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.11635683669398228,policy_loss:-0.019029435199646474,dist_entropy:0.9031674365202585,actor_grad_norm:1.0566241562366485,critic_grad_norm:1.8226622174183527,ratio:3.9869683027267455,best_i:0,average_step_rewards:-0.6299999952316284
episode:33,Updates:33/50,Timesteps:6800/10000,FPS:51.0,avg_sp:-1.38,avg_xp_0_0:-2.81,avg_xp_0_1:-2.91,avg_xp_1_0:-3.39,avg_xp_1_1:-3.19,avg_xp_2_0:-3.29,avg_xp_2_1:-3.67,value_loss:0.10469167027622461,policy_loss:-0.010746633891685686,dist_entropy:0.8862074563900629,actor_grad_norm:1.5638743877410888,critic_grad_norm:1.3032748276988666,ratio:3.9999086976051332,best_i:0,average_step_rewards:-0.6899999976158142
episode:34,Updates:34/50,Timesteps:7000/10000,FPS:52.0,avg_sp:-1.19,avg_xp_0_0:-2.58,avg_xp_0_1:-2.68,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.10042813898374638,policy_loss:-0.021840692702603248,dist_entropy:0.8522396842638652,actor_grad_norm:1.128382682800293,critic_grad_norm:1.7637835159897803,ratio:3.9708651105562844,best_i:0,average_step_rewards:-0.5950000286102295
episode:35,Updates:35/50,Timesteps:7200/10000,FPS:52.0,avg_sp:-1.22,avg_xp_0_0:-2.81,avg_xp_0_1:-2.97,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.07705444333453973,policy_loss:-0.022436352913680166,dist_entropy:0.8811710099379222,actor_grad_norm:1.568968951702118,critic_grad_norm:1.5893086495498816,ratio:3.9709924419720966,best_i:0,average_step_rewards:-0.6100000143051147
episode:36,Updates:36/50,Timesteps:7400/10000,FPS:51.0,avg_sp:-1.54,avg_xp_0_0:-2.48,avg_xp_0_1:-2.96,avg_xp_1_0:-3.782178217821782,avg_xp_1_1:-3.24,avg_xp_2_0:-3.28,avg_xp_2_1:-3.39,value_loss:0.140141740317146,policy_loss:-0.018935247755845895,dist_entropy:0.803268160422643,actor_grad_norm:1.0966236193974812,critic_grad_norm:3.5072383364041646,ratio:3.989542023340861,best_i:0,average_step_rewards:-0.7699999809265137
